date,open,high,low,close,volume
2020-10-03,54.37,56.44,52.82,53.0,112820035.73
2020-10-04,53.07,53.78,51.71,52.63,48894248.87
2020-10-05,52.71,54.18,50.43,51.25,82583000.41
2020-10-06,51.12,51.44,49.71,51.01,65090305.39
2020-10-07,51.26,51.93,51.1,51.66,49989177.31
2020-10-08,51.86,52.91,49.0,49.6,170601414.64
2020-10-09,49.91,51.55,46.86,47.92,74965120.04
2020-10-10,48.2,48.81,47.84,48.66,84043816.92
2020-10-11,48.39,49.44,47.57,47.92,71438549.34
2020-10-12,47.46,47.88,45.64,45.7,91807799.29
2020-10-13,45.73,47.49,43.45,45.08,89930821.56
2020-10-14,44.81,46.63,41.94,43.29,114715912.6
2020-10-15,43.47,43.88,41.41,41.83,157657334.64
2020-10-16,41.88,42.05,40.65,41.31,37936312.11
2020-10-17,41.3,42.88,38.09,38.57,233871866.73
2020-10-18,38.61,39.45,36.7,36.72,201429738.79
2020-10-19,36.78,37.26,34.97,36.3,53465198.36
2020-10-20,36.37,37.31,35.23,35.4,69705759.98
2020-10-21,35.29,36.05,35.09,35.75,74719800.95
2020-10-22,35.93,35.98,33.8,34.7,147507109.9
2020-10-23,34.55,35.38,32.11,33.36,74827565.43
2020-10-24,33.48,34.69,33.06,34.67,159331438.62
2020-10-25,34.55,35.42,33.83,33.94,103568560.01
2020-10-26,33.98,35.08,32.32,33.48,77079455.28
2020-10-27,33.59,34.09,31.39,31.76,138795720.21
2020-10-28,31.9,32.53,30.24,31.11,102967348.43
2020-10-29,31.14,32.0,30.69,30.98,55205735.26
2020-10-30,30.94,31.36,29.14,29.75,128515599.51
2020-10-31,29.39,30.55,28.55,29.87,42055998.96
2020-11-01,29.8,29.84,28.95,29.06,70884950.96
2020-11-02,28.74,30.6,27.97,30.07,86794904.5
2020-11-03,29.93,31.49,29.93,30.85,50054188.34
2020-11-04,30.75,33.75,30.66,33.72,170872522.73
2020-11-05,33.8,35.06,32.29,34.58,76744324.24
2020-11-06,35.05,35.51,34.54,34.62,57120115.94
2020-11-07,34.62,37.6,33.3,36.66,91864590.53
2020-11-08,36.86,37.26,36.18,36.61,52085370.01
2020-11-09,36.75,38.87,35.16,38.27,169430235.3
2020-11-10,38.57,38.57,36.61,37.76,46081199.42
2020-11-11,37.78,39.08,37.66,38.36,63640175.56
2020-11-12,38.24,41.2,38.07,40.68,140580397.87
2020-11-13,40.79,44.69,39.46,43.38,131623377.13
2020-11-14,43.35,45.19,42.21,45.17,166319198.25
2020-11-15,45.26,46.8,43.57,46.58,54387944.37
2020-11-16,46.72,48.07,46.7,47.82,79579543.31
2020-11-17,48.46,48.52,47.59,47.76,75838820.23
2020-11-18,47.64,50.18,46.67,49.09,132127852.0
2020-11-19,49.54,51.46,48.87,50.86,117975202.0
2020-11-20,50.67,56.15,49.14,54.67,239903824.67
2020-11-21,54.17,57.68,53.11,56.02,114889846.74
2020-11-22,55.82,57.44,53.4,54.28,64009137.61
2020-11-23,54.02,56.23,52.81,56.18,129871214.89
2020-11-24,56.06,56.9,55.36,56.78,54914770.51
2020-11-25,56.32,57.55,53.93,57.02,64174675.96
2020-11-26,57.39,59.67,56.15,59.31,54613857.05
2020-11-27,59.28,61.96,59.21,61.87,106872029.02
2020-11-28,62.0,63.87,60.85,63.84,92840100.39
2020-11-29,63.81,65.39,61.62,62.69,102368225.34
2020-11-30,62.76,63.96,59.53,62.99,45740566.16
2020-12-01,63.15,64.8,62.01,64.48,85597832.9
2020-12-02,63.83,69.43,62.49,66.9,102415117.78
2020-12-03,66.48,68.23,65.46,66.47,38309907.84
2020-12-04,66.18,67.3,65.02,66.94,73563755.18
2020-12-05,67.03,68.37,64.55,66.01,51111843.73
2020-12-06,66.31,66.39,64.5,65.5,70133232.41
2020-12-07,65.59,70.35,65.35,68.79,166114073.41
2020-12-08,69.39,73.76,68.94,72.46,278141804.61
2020-12-09,72.42,76.53,70.59,72.82,124896814.19
2020-12-10,72.39,76.49,71.55,75.38,136290632.45
2020-12-11,75.47,78.02,73.47,76.31,147693895.9
2020-12-12,75.39,77.03,72.05,75.37,95535830.69
